"type","title","location","bedroom","bathroom","size_sqm","price","contact_person","image_link"
"Duplex","Prime Location Duplex Fully Finished With A\C ","Park View, North Investors Area, New Cairo City, Cairo","4","4","345","6,850,000","6285755857115","https://i.pinimg.com/736x/0a/20/bf/0a20bf5cc1bb8f1a05b6e1fd56388b34.jpg"
"Villa","Town house resale at Mivida Emaar with best price","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3","3","285","10,000,000","6285755857115","https://i.pinimg.com/736x/79/01/07/7901078cbea56a384272c07c6bd4d9bb.jpg"
"Apartment","Lake View Residence - Apartment | Prime Location","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3","3","210","5,700,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Townhouse","Best Penthouse for sale in villette ( sky conds )","La Vista City, New Capital Compounds, New Capital City, Cairo","4","4","230","7,510,000","6285755857115","https://i.pinimg.com/736x/4d/74/8f/4d748f61c2a73fa8df10ee8bd28cd265.jpg"
"Penthouse","2nd Floor | Fully Finished | Lowest Price |Parking","Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","5","6","284","8,511,300","6285755857115","https://i.pinimg.com/736x/64/59/1f/64591fa465f3795230bf69eb3acf327c.jpg"
"Apartment","Amazing Delivered Villa  Below market price at CFC","Tag Sultan, Ring Road, Cairo","3","2","172","3,150,000","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Villa","Under market Price Apart. In tag sultan for sale","Cairo Festival City, North Investors Area, New Cairo City, Cairo","5","4","250","3,500,000","6285755857115","https://i.pinimg.com/736x/79/01/07/7901078cbea56a384272c07c6bd4d9bb.jpg"
"Townhouse","Apartment with installments at Lake View Residence","Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4","4","220","6,100,000","6285755857115","https://i.pinimg.com/736x/4d/74/8f/4d748f61c2a73fa8df10ee8bd28cd265.jpg"
"Apartment","0% DP over 9 y f.finished apartment for sale ","Tag Sultan, Ring Road, Cairo","2","2","114","2,278,506","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
"Apartment","Villa Modern  Hyde Park 327M under market price","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3","3","204","4,112,700","6285755857115","https://i.pinimg.com/736x/99/af/ea/99afeae1fc9ce2f483c7090c35b6e0d1.jpg"
